OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-000001,Abbühl,Luca A.,L. A.,,26427570600,,,,
OAID-000002,Abrahami,Rachel,R.,0000-0002-1406-3876,56983056700,,,,
OAID-000003,Adams,Byron A.,B. A.,0000-0001-8219-3544,55181943900,I-4243-2015,,,
OAID-000004,Aguilar,Germán,G.,0000-0002-3926-835X,36624833300,P-7681-2014,,,
OAID-000005,Andermann,Christoff,C.,0000-0003-0921-8455,35145340000,J-7935-2013,,,
OAID-000006,Ansberque,Claire,C.,0000-0003-4602-6911,56724222600,,,,
OAID-000007,Arkle,Jeanette C.,J. C.,0000-0003-0640-6178,55682758000,,,,
OAID-000008,Balco,Greg,G.,,6508182808,,,,
OAID-000009,Barreto,Helen N.,H. N.,,55638166000,,,,
OAID-000010,Bellin,Nicolas,N.,,25653815300,,,,
OAID-000011,Belmont,Patrick,P.,0000-0002-8244-3854,23003260900,,,,
OAID-000012,Bestland,Erick A.,E. A.,0000-0001-8424-9150,6602741368,F-1311-2015,,,
OAID-000013,Bierman,Paul R.,P. R.,0000-0001-9627-4601,7006832233,AAA-9466-2020,,,
OAID-000014,Binnie,Steven A.,S. A.,0000-0003-0883-0212,23003805700,,,,
OAID-000015,Bookhagen,Bodo,B.,0000-0003-1323-6453,6603446872,A-1389-2012,,,
OAID-000016,Brown,Erik Thorson,E. T.,0000-0001-7154-2729,35566488900,,,,
OAID-000017,Buechi,Marius W.,M. W.,0000-0001-7638-490X,55946010700,,ORCID unconfirmed,,
OAID-000018,Burdis,Abby Jade,A. J.,,,,,,
OAID-000019,Buscher,Jamie T.,J. T.,0000-0002-9089-4102,6506386026,M-2315-2016,,,
OAID-000020,Byun,Jongmin,J.,0000-0002-7309-9027,56573452800,,,,
OAID-000021,Callahan,Russell P.,R. P.,0000-0002-0091-3446,57210793869,,,,
OAID-000022,Carretier,Sébastien,S.,0000-0002-5527-5146,6603118126,L-4580-2017,,,
OAID-000023,Cazes,Gaël,G.,,57192676939,,,,
OAID-000024,Chadwick,Oliver A.,O. A.,0000-0002-4964-6203,57206172597,,,,
OAID-000025,Chappell,John M. A.,J. M. A.,,7102682272,,,,
